BY YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2019-20,LAL,8,16.8,5.8,2.4,5.9,40.4,0.8,2.5,30,0.3,0.4,66.7,0.4,1.1,1.5,2.3,0.9,0.3,0.1,0.8,11.2,0,0,5.3
2018-19,GSW,74,14.3,6.9,2.8,5.9,46.5,1.1,2.7,40.5,0.3,0.4,76.9,0.3,1.8,2.1,1.6,0.7,0.3,0,1.2,12,0,0,-1.8
2017-18,GSW,33,22.4,9.5,3.7,7.6,48.4,1.4,3.2,44.2,0.7,0.8,88,0.3,2.2,2.5,2.7,1,0.4,0,1.8,16.7,0,0,-1.2
2016-17,TOT,14,13.4,5.6,2.4,4.7,50,0.8,1.9,42.3,0.1,0.4,40,0.1,0.4,0.5,1.9,0.9,0.3,0,0.9,9,0,0,-2.9
2016-17,NOP,9,12.3,5.8,2.4,4.6,53.7,0.7,1.3,50,0.2,0.3,66.7,0.1,0.3,0.4,1.6,0.6,0.3,0,0.8,9.1,0,0,-3.2
2016-17,DAL,5,15.4,5.4,2.2,5,44,1,2.8,35.7,0,0.4,0,0,0.6,0.6,2.4,1.6,0.2,0,1.2,8.7,0,0,-2.4
