BY YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2019-20,LAL,8,22.9,6.3,2.5,6.9,36.4,0.6,2.5,25,0.6,0.9,71.4,0.4,1.9,2.3,1.8,0.9,0.8,0.1,2.1,13.3,0,0,5.3
2018-19,LAL,82,24.8,11.4,4,9.2,43,1.8,5.3,34.7,1.7,1.9,86.7,0.6,2.3,2.9,1.3,0.8,0.9,0.2,1.7,19.3,0,0,-1.9
2017-18,LAL,74,33.2,13.4,4.6,10.8,42.6,2.1,5.6,38.3,2.1,2.6,78.9,0.8,4.4,5.2,2.2,1.3,1.4,0.2,2,26.6,4,0,-0.7
2016-17,DET,76,33.3,13.8,4.9,12.2,39.9,2,5.8,35,2,2.4,83.2,0.7,2.5,3.3,2.5,1.1,1.2,0.2,1.6,24.4,1,0,-1.9
2015-16,DET,76,36.7,14.5,5.3,12.6,42,1.5,4.9,30.9,2.4,3,81.1,0.9,2.8,3.7,1.8,1.4,1.4,0.2,2.2,25.3,1,0,2.3
2014-15,DET,82,31.5,12.7,4.8,11.9,40.1,1.9,5.4,34.5,1.3,1.9,69.6,0.6,2.5,3.1,1.3,1.1,1.1,0.2,2,21.4,0,0,0.9
2013-14,DET,80,19.8,5.9,2.3,5.8,39.6,0.7,2.3,31.9,0.6,0.8,77,0.5,1.5,2,0.7,0.4,0.9,0.2,1.8,12.2,0,0,-0.8
