BY YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2019-20,LAL,7,17.8,4.1,1.7,4.6,37.5,0.4,1.7,25,0.3,0.4,66.7,0.1,1.7,1.9,1.9,1.7,1.3,0.6,1.1,13,0,0,2.3
2018-19,LAL,25,21.2,9.2,3.1,6.9,44.5,1,2,48,2,2.6,79.7,0.8,1.9,2.7,3.1,1.7,1,0.4,2.2,19.3,3,0,1.8
2017-18,LAL,37,15.2,3.6,1.4,3.1,43.1,0.4,1.2,30.2,0.6,0.8,70,0.4,1.4,1.8,2,1.1,0.6,0.3,1.4,10.3,0,0,-0.1
