BY YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2019-20,LAL,8,26.6,9.8,3.5,7.9,44.4,2.3,5.1,43.9,0.5,0.8,66.7,0.5,2.5,3,1.1,1,1.5,0.4,3.1,19.7,0,0,7.8
2018-19,TOR,80,27.7,10.3,3.7,7.9,46.5,2.5,5.4,45.5,0.5,0.6,84.1,0.8,3.2,4,1.6,0.9,0.9,0.7,2.1,21.2,1,0,8
2017-18,SAS,70,25.6,8.6,3.1,8,38.7,1.7,4.6,36.3,0.7,0.9,76.9,0.6,3,3.6,1.6,1.1,0.9,1.1,1.7,20.3,0,0,1.3
2016-17,SAS,68,26.6,7.3,2.6,6.6,39.2,1.7,4.6,37.9,0.4,0.5,84.4,0.5,2.8,3.3,1.8,1.1,1,0.8,1.8,18.5,0,0,3.9
2015-16,SAS,79,26.1,7.2,2.7,7.1,37.6,1.5,4.4,33.2,0.4,0.6,73.9,0.6,3.2,3.8,1.8,0.9,1,0.8,1.8,19,0,0,6.4
2014-15,SAS,81,28.5,11.7,4,9.1,43.6,2.4,5.6,41.8,1.4,1.6,87.4,0.7,3.6,4.2,2,1.1,1.2,1.1,2,25.5,2,0,5.3
2013-14,SAS,68,24.3,9.1,3.2,7.4,43.2,1.9,4.7,41.5,0.7,0.9,79.4,0.4,3,3.4,1.5,1.1,1,0.9,1.6,19.9,1,0,4.9
2012-13,SAS,80,27.5,10.5,3.7,8.3,44.8,2.2,5.2,42.9,0.8,1,84.8,0.5,2.6,3.1,1.8,1.2,1.2,0.7,1.6,21.1,0,0,3.9
2011-12,SAS,66,23.1,9.1,3.2,7.2,44.2,1.5,3.5,43.6,1.2,1.5,79,0.8,2.6,3.5,1.3,1,0.9,0.7,1.6,18.9,0,0,3.7
2010-11,SAS,8,11.4,5.1,2.1,4.4,48.6,0.9,2.4,36.8,0,0,0,0.4,1.5,1.9,0.3,0.6,0.3,0.1,0.9,8.3,0,0,2.3
2009-10,CLE,20,5.7,2,0.8,2,38.5,0.3,1.1,27.3,0.2,0.3,66.7,0.4,0.5,0.9,0.3,0.3,0.3,0.2,0.5,4.5,0,0,-1.1
