BY YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2019-20,LAL,8,15,4.8,1.6,5.3,31,1.1,4.1,27.3,0.4,0.4,100,0.1,1.1,1.3,0.8,0.4,0.4,0,0.4,8.1,0,0,-1.3
2018-19,PHX,51,14.9,6.2,2.2,5.4,41.1,1.5,3.8,38.1,0.4,0.5,78.3,0.3,1.2,1.4,0.5,0.5,0.5,0.1,1.5,10,0,0,-2.2
2017-18,PHX,79,20.5,8.9,2.9,7.3,40.3,2.3,5.8,40,0.7,0.8,87.5,0.2,1.5,1.6,0.6,0.7,0.3,0.1,1.7,12.2,0,0,-5.2
2016-17,MEM,67,17.7,8.2,2.8,7.4,37.4,2.1,5.3,38.9,0.6,0.8,79.6,0.3,1.2,1.5,0.7,0.7,0.3,0.1,1.3,11.4,0,0,1.3
2015-16,CHA,43,11.1,5.6,2.1,4.3,47.6,1.4,2.8,48.4,0.1,0.2,55.6,0.2,1.2,1.3,0.5,0.6,0.3,0.1,0.9,8.4,0,0,-1
2014-15,TOT,47,8.5,3.7,1.3,3.5,37,0.9,2.5,36.4,0.2,0.3,84.6,0.2,0.5,0.7,0.5,0.4,0.1,0,0.9,5.3,0,0,-1.8
2014-15,CHA,11,12.3,7,2.5,5.4,45.8,1.5,3.3,47.2,0.5,0.6,85.7,0.2,0.5,0.7,0.5,0.6,0.3,0.1,1.1,9,0,0,-3.5
2014-15,MIN,19,8.1,2.8,1,3.1,32.2,0.7,2.1,33.3,0.1,0.1,100,0.3,0.7,1,0.7,0.4,0.2,0,0.7,5.1,0,0,-0.5
2014-15,HOU,17,6.4,2.7,0.9,2.8,31.9,0.8,2.5,30.2,0.2,0.2,75,0,0.4,0.4,0.2,0.3,0,0,0.8,3.2,0,0,-2.2
2013-14,HOU,5,15,8.4,3,6.2,48.4,2.4,5,48,0,0,0,0,0.8,0.8,1,0.6,0,0,1.2,10.3,0,0,5.6
