BY YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2019-20,LAL,8,20.9,6.1,2.9,3.8,76.7,0,0,0,0.4,1.1,33.3,2.1,5.5,7.6,1.1,0.9,0.6,1.9,4.1,23.6,2,0,7.6
2018-19,WAS,9,25.5,12.8,4.8,7.7,62.3,0,0,0,3.2,5.3,60.4,2.7,6.6,9.2,0.4,1.8,0.8,0.4,3.8,26.4,3,0,-5.6
2017-18,CHA,81,30.4,16.6,6.2,11.2,55.5,0,0.1,14.3,4.1,7.2,57.4,3.1,9.3,12.5,1.3,2.6,0.6,1.6,3.1,37.6,53,0,1.1
2016-17,ATL,74,29.7,13.5,5.2,8.3,63.3,0,0,0,3.1,5.7,53.3,4,8.7,12.7,1.4,2.3,0.9,1.2,2.7,34.9,53,0,-1.5
2015-16,HOU,71,32.1,13.7,5.2,8.5,62,0,0.1,0,3.3,6.7,48.9,3.4,8.4,11.8,1.4,2.3,1,1.6,3.1,35.3,38,0,0.3
2014-15,HOU,41,29.8,15.8,6.1,10.3,59.3,0,0,50,3.5,6.6,52.8,2.7,7.8,10.5,1.2,2.8,0.7,1.3,3.3,33.3,23,0,5.3
2013-14,HOU,71,33.8,18.3,6.7,11.3,59.1,0,0.1,28.6,4.9,9,54.7,3.3,8.9,12.2,1.8,3.2,0.8,1.8,3.4,40.4,47,0,4.8
2012-13,LAL,76,35.8,17.1,6.2,10.7,57.8,0,0.1,16.7,4.7,9.5,49.2,3.3,9.1,12.4,1.4,3,1.1,2.4,3.8,41.8,48,0,1.8
2011-12,ORL,54,38.3,20.6,7.7,13.4,57.3,0,0.1,0,5.2,10.6,49.1,3.7,10.8,14.5,1.9,3.2,1.5,2.1,2.9,48.6,43,0,3.3
2010-11,ORL,78,37.6,22.9,7.9,13.4,59.3,0,0.1,0,7,11.7,59.6,4,10.1,14.1,1.4,3.6,1.4,2.4,3.3,49.5,66,0,6.4
2009-10,ORL,82,34.7,18.3,6.2,10.2,61.2,0,0.1,0,5.9,10,59.2,3.5,9.7,13.2,1.8,3.3,0.9,2.8,3.5,44.5,64,0,7.6
2008-09,ORL,79,35.7,20.6,7.1,12.4,57.2,0,0,0,6.4,10.7,59.4,4.3,9.6,13.8,1.4,3,1,2.9,3.4,47.9,63,1,7
2007-8,ORL,82,37.7,20.7,7.1,11.9,59.9,0,0,0,6.5,10.9,59,3.4,10.8,14.2,1.3,3.2,0.9,2.1,3.3,45.6,69,0,5.9
2006-7,ORL,82,36.9,17.6,6.4,10.6,60.3,0,0,50,4.8,8.1,58.6,3.5,8.8,12.3,1.9,3.9,0.9,1.9,3,39.6,60,0,1.2
2005-6,ORL,82,36.8,15.8,5.7,10.7,53.1,0,0,0,4.3,7.3,59.5,3.5,9,12.5,1.5,2.6,0.8,1.4,3.4,36.9,60,0,0.3
2004-05,ORL,82,32.7,12,4.3,8.3,52,0,0,0,3.4,5,67.1,3.5,6.5,10,0.9,2,0.9,1.7,2.8,31.2,32,0,-2.2
