BY YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2019-20,LAL,5,6.7,1.2,0.4,0.6,66.7,0.4,0.4,100,0,0,0,0,0.4,0.4,0.2,0,0.2,0,1,2.6,0,0,-1.4
2018-19,BKN,59,20.7,4.9,1.7,4.1,42.3,0.9,2.6,35.1,0.5,0.8,69.6,0.6,2.1,2.6,1.4,0.7,0.6,0.3,2.2,12,0,0,0.6
2017-18,PHX,48,14.3,3.2,1,2.5,39.3,0.6,1.7,36.3,0.6,0.7,77.1,0.2,1.8,2,1.6,0.6,0.5,0.2,1.8,9.6,0,0,0
2016-17,PHX,64,21.3,6.8,2.5,5.4,45.4,1.2,3.2,37.9,0.7,1,66.2,0.5,3,3.5,1.9,1.1,0.7,0.3,2.4,15.4,0,0,-0.7
2015-16,WAS,81,25.9,7.9,2.9,6,47.8,1.2,2.9,42,0.9,1.2,73.5,0.7,2.9,3.5,2.1,1,0.9,0.2,2.3,17.7,0,0,0.7
2014-15,MIL,72,23.8,7.2,2.8,5.9,46.8,1,2.7,38.5,0.7,0.9,71.6,0.6,2.4,3.1,1.8,0.9,1,0.2,1.6,16.2,0,0,1.5
2013-14,LAC,74,23.4,6.9,2.6,6,43.8,1.1,3,36,0.5,0.8,65.5,0.5,1.7,2.2,1.4,0.8,0.6,0.1,2,12.9,0,0,2.9
2012-13,PHX,79,27.5,10.9,4,8.5,46.8,1.3,3.4,39.1,1.6,2.1,79.6,1,2.1,3.1,2.6,1.3,0.9,0.1,1.6,20.3,1,0,-1.6
2011-12,PHX,65,31.1,12.7,4.8,9.9,48.5,1.2,3.2,38.3,1.8,2.5,72.6,1.5,3.2,4.6,1.7,1.1,0.8,0.3,1.6,22.8,2,0,1.3
2010-11,PHX,82,26.1,10.6,3.7,7.7,47.7,1.3,3.1,41.5,2,2.7,74.3,1.4,2.5,3.9,1.3,0.9,1.1,0.2,1.7,20.2,2,0,-0.4
2009-10,PHX,82,24.3,8.2,2.7,6,45.9,1.5,3.2,45.8,1.3,1.7,75.4,1.2,2.2,3.4,1.4,0.8,1,0.2,2,17.2,2,0,2.6
2008-9,TOT,68,17,5.5,2,4.2,47.7,0.4,1.1,39.2,1,1.5,67.6,1.2,1.8,3,0.8,0.6,0.8,0.1,1.5,12.6,1,0,0.1
2008-9,PHX,48,15.2,5.5,1.9,3.9,48.1,0.5,1.4,39.4,1.2,1.7,69.1,1.2,1.9,3,0.8,0.7,0.8,0.1,1.4,12.4,1,0,0.9
2008-9,CHA,20,21.4,5.4,2.3,4.8,46.9,0.2,0.4,37.5,0.8,1.2,62.5,1.3,1.7,3,1,0.5,0.9,0.1,2,12.9,0,0,-1.8
2007-8,CHA,73,19,5.8,2.2,4.8,46.8,0.1,0.6,22,1.2,1.6,73.7,1.7,2.3,3.9,1.1,0.7,0.8,0.1,1.8,14.1,4,0,-0.6
