BY YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2019-20,LAL,3,19.7,8.7,3.3,7.7,43.5,1.3,3.3,40,0.7,0.7,100,0.3,2,2.3,3.3,3,0.7,0,1.7,15.5,0,0,-0.7
2018-19,LAL,4,22.5,4,1.5,3.5,42.9,1,1.3,80,0,0,0,1.3,3,4.3,8.8,3.3,1.3,0,2.3,22.7,0,0,1.8
2017-18,NOP,2,18.9,5.5,2.5,5,50,0.5,1.5,33.3,0,0,0,0,3,3,4.5,1,2,0,0.5,20.9,0,0,-7.5
2016-17,CHI,5,25.8,8.2,3.6,7.4,48.6,0.4,1.8,22.2,0.6,1.2,50,0.8,5.2,6,6.8,4,0.6,0.4,2,24.6,0,0,-4
2015-16,SAC,6,23,5.7,2.3,4.7,50,0.3,1.7,20,0.7,1.7,40,0.5,3,3.5,5.2,2.2,1.5,0.2,0.8,20.5,0,0,1
2012-13,BOS,8,30,10.9,4.3,9.9,43,0.3,0.8,33.3,2.1,2.8,77.3,0.6,3.6,4.3,8.3,3.9,1.1,0.1,2.1,28.2,2,0,3
2011-12,BOS,2,24.9,11,4,9.5,42.1,0,0,0,3,4,75,0,2.5,2.5,7,3,3,0,2,30.5,0,0,4
2010-11,BOS,7,26.3,7.9,2.9,6.3,45.5,0.1,0.4,33.3,2,2.7,73.7,1.1,2,3.1,7.7,2.6,2.1,0.4,2.6,28.3,0,0,10.9
2009-10,BOS,8,26.4,10.3,4,9.1,43.8,0,0.6,0,2.3,4.3,52.9,0.6,2.1,2.8,6.3,2.6,2.1,0.1,1.9,27.1,1,0,7.4
2008-09,BOS,6,19.3,5.5,2.5,5.5,45.5,0,0.2,0,0.5,1.3,37.5,0.7,1.5,2.2,4.2,1.8,1.5,0.2,1.8,17.5,0,0,1
2007-8,BOS,7,25.7,5.9,2.4,6.1,39.5,0,0,0,1,1.7,58.3,0.7,3.3,4,4,2.3,2,0.3,2.3,21.2,0,0,5.6
2006-7,BOS,8,29.3,11.1,3.9,8.1,47.7,0.4,1,37.5,3,4.1,72.7,1,2.5,3.5,4.9,1.1,2.3,0.1,2.3,28.6,0,0,1.4
