BY YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19,GSW,30,25.7,16.3,5.9,12.4,48,0.9,3.2,27.4,3.5,4.8,73.6,1.4,6.8,8.2,3.6,2.4,1.3,1.5,3.6,37.5,10,0,2.2
2017-18,NOP,48,36.2,25.2,8.5,18,47,2.2,6.1,35.4,6.1,8.2,74.6,2.2,10.7,12.9,5.4,5,1.6,1.6,3.8,53.3,38,3,1.6
2016-17,TOT,72,34.2,27,9,19.9,45.2,1.8,5,36.1,7.2,9.3,77.2,2.1,8.9,11,4.6,3.7,1.4,1.3,3.9,51.4,46,2,-0.3
2016-17,NOP,17,33.8,24.4,8.4,18.5,45.2,2.1,5.6,37.5,5.5,7.1,77.7,2.2,10.2,12.4,3.9,3.6,1.5,1.1,4.4,49.2,12,0,0.2
2016-17,SAC,55,34.4,27.8,9.2,20.3,45.2,1.7,4.9,35.6,7.7,10,77,2.1,8.5,10.6,4.8,3.8,1.4,1.3,3.7,52.1,34,2,-0.5
2015-16,SAC,65,34.6,26.9,9.2,20.5,45.1,1.1,3.2,33.3,7.3,10.2,71.8,2.4,9.1,11.5,3.3,3.8,1.6,1.4,3.6,50.7,47,1,0.6
2014-15,SAC,59,34.1,24.1,8.4,18.1,46.7,0,0.1,25,7.2,9.2,78.2,3.1,9.5,12.7,3.6,4.3,1.5,1.7,4.1,50.1,47,2,1
2013-14,SAC,71,32.4,22.7,8.3,16.8,49.6,0,0.1,0,6.1,8.4,72.6,3.1,8.6,11.7,2.9,3.5,1.5,1.3,3.8,46.1,53,0,-0.2
2012-13,SAC,75,30.5,17.1,6.4,13.8,46.5,0.1,0.3,18.2,4.2,5.6,73.8,3,7,9.9,2.7,3,1.4,0.7,3.6,36.5,35,1,-4
2011-12,SAC,64,30.5,18.1,7,15.6,44.8,0,0.2,14.3,4.1,5.8,70.2,4.1,6.8,11,1.6,2.7,1.5,1.2,4,38.9,36,0,-2.8
2010-11,SAC,81,28.5,14.1,5.3,12.4,43,0,0.2,16.7,3.4,5,68.7,2.7,6,8.6,2.5,3.3,1,0.8,4.1,30.6,26,0,-3.3
